date,home_team,away_team,home_form,away_form,home_avg_goals_for,away_avg_goals_for,home_avg_goals_against,away_avg_goals_against,home_win_pct,away_win_pct,home_clean_sheet_pct,away_clean_sheet_pct,home_wc_experience,away_wc_experience,h2h_home_strength,elo_diff,fifa_rank_diff,outcome
2019-01-01,Portugal,Mexico,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,168.79999999999995,14.0,0
2019-01-01,South Korea,Turkey,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,114.5,22.0,0
2019-01-02,Morocco,Cape Verde,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,352.0,34.0,2
2019-01-03,Ukraine,Belgium,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,-219.5,-17.0,0
2019-01-04,South Korea,Wales,1.0,0.5,2.0,1.2,1.0,1.2,1.0,0.4,0.0,0.25,0.1,0.1,0.5,43.100000000000136,11.0,0
2019-01-05,Uzbekistan,Nigeria,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,-117.20000000000005,-11.0,0
2019-01-06,Jamaica,Poland,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,-180.30000000000018,-22.0,2
2019-01-07,Spain,Saudi Arabia,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,382.70000000000005,29.0,2
2019-01-08,Costa Rica,Austria,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,-116.79999999999995,-15.0,2
2019-01-09,Netherlands,Senegal,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,195.0999999999999,14.0,0
2019-01-10,England,Denmark,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,184.30000000000018,12.0,1
2019-01-10,Tunisia,Germany,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,-218.4000000000001,-20.0,2
2019-01-11,Canada,Spain,0.5,0.0,1.2,4.0,1.2,5.0,0.4,0.0,0.25,0.0,0.1,0.1,0.5,-339.5,-21.0,0
2019-01-12,Argentina,Peru,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,375.70000000000005,39.0,0
2019-01-13,Peru,Panama,0.0,0.5,1.0,1.2,2.0,1.2,0.0,0.4,0.0,0.25,0.1,0.1,0.5,17.09999999999991,-4.0,1
2019-01-14,Chile,Ecuador,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,-108.10000000000014,-17.0,1
2019-01-15,United States,Poland,0.5,1.0,1.2,1.0,1.2,0.0,0.4,1.0,0.25,1.0,0.1,0.1,0.5,96.29999999999995,7.0,0
2019-01-16,Belgium,Netherlands,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.1,0.1,0.5,9.600000000000136,-1.0,2
2019-01-17,Brazil,Tunisia,0.5,0.0,1.2,2.0,1.2,4.0,0.4,0.0,0.25,0.0,0.1,0.1,0.5,372.79999999999995,26.0,0
2019-01-18,France,Serbia,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,296.0999999999999,24.0,1
2019-01-19,Argentina,Portugal,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.1,0.1,0.5,30.0,4.0,1
2019-01-19,Ukraine,Curacao,1.0,0.5,1.0,1.2,0.0,1.2,1.0,0.4,1.0,0.25,0.1,0.1,0.5,221.60000000000014,22.0,1
2019-01-20,Netherlands,Argentina,1.0,0.6666666666666666,2.0,1.5,1.0,1.0,1.0,0.5,0.5,0.0,0.1,0.1,0.5,-71.5,-6.0,2
2019-01-21,Wales,Curacao,0.0,0.3333333333333333,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,173.79999999999995,16.0,1
2019-01-22,Tunisia,Serbia,0.0,0.3333333333333333,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.5,-80.70000000000005,-3.0,2
2019-01-23,Algeria,Spain,0.5,0.0,1.2,5.0,1.2,6.0,0.4,0.0,0.25,0.0,0.1,0.1,0.5,-371.79999999999995,-28.0,2
2019-01-24,Peru,Ukraine,0.16666666666666666,0.6666666666666666,1.5,1.0,2.0,0.5,0.0,0.5,0.0,0.5,0.1,0.1,0.5,-94.30000000000018,-15.0,0
2019-01-25,Ukraine,Germany,0.4444444444444444,1.0,1.6666666666666667,4.0,1.6666666666666667,2.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.1,0.1,0.5,-123.5,-16.0,2
2019-01-26,Tunisia,Japan,0.0,0.5,1.0,1.2,2.6666666666666665,1.2,0.0,0.4,0.0,0.25,0.1,0.1,0.5,-125.40000000000009,-11.0,0
2019-01-27,Austria,Chile,1.0,0.3333333333333333,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.1,0.1,0.5,100.20000000000005,16.0,1
2019-01-28,Wales,United States,0.16666666666666666,1.0,2.0,4.0,2.5,3.0,0.0,1.0,0.0,0.0,0.1,0.1,0.5,-126.60000000000014,-14.0,1
2019-01-28,Brazil,Wales,1.0,0.2222222222222222,2.0,1.6666666666666667,0.0,2.0,1.0,0.0,1.0,0.0,0.1,0.1,0.5,325.70000000000005,28.0,0
2019-01-29,Chile,Algeria,0.3333333333333333,0.0,1.5,1.0,1.5,2.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,-12.900000000000091,-5.0,2
2019-01-30,Brazil,Scotland,1.0,0.5,2.5,1.2,0.0,1.2,1.0,0.4,1.0,0.25,0.1,0.1,0.5,438.79999999999995,38.0,0
2019-01-31,Austria,Germany,0.6666666666666666,1.0,1.0,4.0,0.5,1.0,0.5,1.0,0.5,0.5,0.1,0.1,0.5,-131.10000000000014,-14.0,2
2019-02-01,Tunisia,Morocco,0.25,0.0,1.25,0.0,2.25,1.0,0.25,0.0,0.0,0.0,0.1,0.1,0.5,-212.79999999999995,-15.0,1
2019-02-02,United States,France,0.6666666666666666,0.3333333333333333,2.5,0.0,2.0,0.0,0.5,0.0,0.0,1.0,0.1,0.1,0.5,-203.0999999999999,-15.0,2
2019-02-03,Italy,New Zealand,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,339.5,35.0,0
2019-02-04,Panama,Costa Rica,0.3333333333333333,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,13.0,2.0,1
2019-02-05,Jordan,South Korea,0.5,1.0,1.2,2.5,1.2,1.5,0.4,1.0,0.25,0.0,0.1,0.1,0.5,-215.4000000000001,-23.0,1
2019-02-06,Colombia,Uruguay,0.5,0.5,1.2,1.2,1.2,1.2,0.4,0.4,0.25,0.25,0.1,0.1,0.5,3.900000000000091,-1.0,1
2019-02-07,Costa Rica,New Zealand,0.16666666666666666,0.0,0.0,1.0,0.5,2.0,0.0,0.0,0.5,0.0,0.1,0.1,0.5,84.0,7.0,0
2019-02-07,Costa Rica,Poland,0.4444444444444444,0.5,1.3333333333333333,2.0,0.6666666666666666,2.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.1,0.1,0.5,-106.90000000000009,-14.0,1
2019-02-08,Spain,Canada,0.3333333333333333,1.0,4.0,7.0,4.333333333333333,6.0,0.3333333333333333,1.0,0.0,0.0,0.1,0.1,0.5,339.5,21.0,0
2019-02-09,Serbia,Qatar,0.6666666666666666,0.5,1.0,1.2,0.5,1.2,0.5,0.4,0.5,0.25,0.1,0.1,0.5,70.60000000000014,11.0,1
2019-02-10,Saudi Arabia,Curacao,1.0,0.3333333333333333,5.0,1.5,4.0,1.5,1.0,0.0,0.0,0.0,0.1,0.1,0.5,115.79999999999995,12.0,0
2019-02-11,Denmark,Brazil,0.3333333333333333,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,0.1,0.5,-183.20000000000005,-13.0,2
