date,home_team,away_team,home_goals,away_goals,tournament
2019-01-01,Portugal,Mexico,2,0,Continental Cup
2019-01-01,South Korea,Turkey,2,1,Continental Cup
2019-01-02,Morocco,Cape Verde,0,1,Friendly
2019-01-03,Ukraine,Belgium,1,0,Friendly
2019-01-04,South Korea,Wales,3,2,Friendly
2019-01-05,Uzbekistan,Nigeria,1,0,WC Qualifier
2019-01-06,Jamaica,Poland,0,1,Continental Cup
2019-01-07,Spain,Saudi Arabia,4,5,Nations League
2019-01-08,Costa Rica,Austria,0,1,WC Qualifier
2019-01-09,Netherlands,Senegal,1,0,WC Qualifier
2019-01-10,Tunisia,Germany,2,4,WC Qualifier
2019-01-10,England,Denmark,0,0,WC Qualifier
2019-01-11,Canada,Spain,7,6,WC Qualifier
2019-01-12,Argentina,Peru,2,1,WC Qualifier
2019-01-13,Peru,Panama,2,2,Friendly
2019-01-14,Chile,Ecuador,2,2,WC Qualifier
2019-01-15,United States,Poland,4,3,WC Qualifier
2019-01-16,Belgium,Netherlands,2,3,WC Qualifier
2019-01-17,Brazil,Tunisia,2,0,Friendly
2019-01-18,France,Serbia,0,0,Continental Cup
2019-01-19,Argentina,Portugal,1,1,Friendly
2019-01-19,Ukraine,Curacao,1,1,Friendly
2019-01-20,Netherlands,Argentina,0,1,Continental Cup
2019-01-21,Wales,Curacao,2,2,Friendly
2019-01-22,Tunisia,Serbia,1,2,Friendly
2019-01-23,Algeria,Spain,1,2,Nations League
2019-01-24,Peru,Ukraine,4,3,WC Qualifier
2019-01-25,Ukraine,Germany,0,4,WC Qualifier
2019-01-26,Tunisia,Japan,2,1,WC Qualifier
2019-01-27,Austria,Chile,1,1,WC Qualifier
2019-01-28,Wales,United States,1,1,WC Qualifier
2019-01-28,Brazil,Wales,3,0,WC Qualifier
2019-01-29,Chile,Algeria,2,3,WC Qualifier
2019-01-30,Brazil,Scotland,1,0,Friendly
2019-01-31,Austria,Germany,0,3,WC Qualifier
2019-02-01,Tunisia,Morocco,3,3,WC Qualifier
2019-02-02,United States,France,0,1,Continental Cup
2019-02-03,Italy,New Zealand,2,1,Friendly
2019-02-04,Panama,Costa Rica,0,0,Nations League
2019-02-05,Jordan,South Korea,0,0,Friendly
2019-02-06,Colombia,Uruguay,3,3,Friendly
2019-02-07,Costa Rica,New Zealand,4,1,WC Qualifier
2019-02-07,Costa Rica,Poland,2,2,Friendly
2019-02-08,Spain,Canada,2,0,Continental Cup
2019-02-09,Serbia,Qatar,4,4,Continental Cup
2019-02-10,Saudi Arabia,Curacao,3,2,Friendly
2019-02-11,Denmark,Brazil,3,4,WC Qualifier
2019-02-12,Panama,Poland,1,2,Friendly
2019-02-13,Jamaica,Tunisia,3,4,WC Qualifier
2019-02-14,Egypt,Uruguay,4,3,Nations League
2019-02-15,Serbia,Switzerland,2,1,Friendly
2019-02-16,Tunisia,Turkey,3,1,WC Qualifier
2019-02-16,Germany,Cape Verde,3,0,Friendly
2019-02-17,Switzerland,Tunisia,3,2,WC Qualifier
2019-02-18,Denmark,Curacao,3,2,Friendly
2019-02-19,Scotland,Uzbekistan,2,1,WC Qualifier
2019-02-20,Uruguay,Saudi Arabia,5,0,WC Qualifier
2019-02-21,United States,Panama,3,1,Friendly
2019-02-22,Argentina,Uruguay,1,0,Friendly
2019-02-23,Qatar,England,2,1,WC Qualifier
2019-02-24,France,Netherlands,0,1,Friendly
2019-02-25,Japan,Portugal,1,2,WC Qualifier
2019-02-25,Tunisia,Turkey,3,2,Friendly
2019-02-26,United States,Croatia,0,1,Friendly
2019-02-27,Netherlands,Portugal,3,2,Continental Cup
2019-02-28,Canada,Cape Verde,4,1,Continental Cup
2019-03-01,Wales,Portugal,0,1,Friendly
2019-03-02,Algeria,Croatia,4,3,Nations League
2019-03-03,Wales,Belgium,3,2,Friendly
2019-03-04,Portugal,Iran,4,3,Friendly
2019-03-05,Argentina,Egypt,2,1,Nations League
2019-03-06,Turkey,Australia,1,3,Nations League
2019-03-07,Netherlands,South Korea,2,0,Nations League
2019-03-07,Nigeria,Serbia,0,1,Friendly
2019-03-08,Jamaica,Scotland,4,3,WC Qualifier
2019-03-09,Ukraine,Uzbekistan,2,3,Continental Cup
2019-03-10,Brazil,Ukraine,3,1,WC Qualifier
2019-03-11,Curacao,France,0,1,WC Qualifier
2019-03-12,Belgium,Panama,2,0,Continental Cup
2019-03-13,Netherlands,Wales,2,1,Friendly
2019-03-14,Argentina,Belgium,2,3,Friendly
2019-03-15,Austria,United States,4,5,Friendly
2019-03-16,Spain,Mexico,1,1,Continental Cup
2019-03-16,Iran,Croatia,2,3,Nations League
2019-03-17,Argentina,Italy,1,0,Continental Cup
2019-03-18,Canada,New Zealand,4,3,WC Qualifier
2019-03-19,Uruguay,Egypt,4,1,WC Qualifier
2019-03-20,Mexico,Uruguay,3,1,Friendly
2019-03-21,Brazil,Scotland,2,2,WC Qualifier
2019-03-22,Nigeria,Portugal,2,3,Nations League
2019-03-23,Tunisia,Switzerland,3,3,Nations League
2019-03-24,Poland,Argentina,0,2,WC Qualifier
2019-03-25,Netherlands,Nigeria,3,2,WC Qualifier
2019-03-25,Belgium,Chile,2,1,Continental Cup
2019-03-26,Denmark,Uzbekistan,2,3,Continental Cup
2019-03-27,Senegal,Algeria,3,1,WC Qualifier
2019-03-28,Cape Verde,Ukraine,2,0,Friendly
2019-03-29,Saudi Arabia,Portugal,1,2,Friendly
2019-03-30,Belgium,Algeria,3,2,Friendly
2019-03-31,Denmark,Morocco,3,2,WC Qualifier
2019-04-01,Germany,New Zealand,3,0,Nations League
2019-04-02,Turkey,Jordan,4,5,WC Qualifier
2019-04-03,Denmark,Canada,3,2,Friendly
2019-04-04,Cape Verde,Ukraine,3,2,Friendly
2019-04-04,Brazil,Colombia,1,1,WC Qualifier
2019-04-05,Italy,Wales,2,1,WC Qualifier
2019-04-06,Iran,Ecuador,4,5,WC Qualifier
2019-04-07,Germany,Ecuador,3,2,Friendly
2019-04-08,Uruguay,Algeria,2,1,Friendly
2019-04-09,Chile,Morocco,1,0,WC Qualifier
2019-04-10,Chile,Costa Rica,1,1,Nations League
2019-04-11,Brazil,Colombia,2,1,Friendly
2019-04-12,Panama,United States,1,2,Friendly
2019-04-13,Costa Rica,Argentina,0,2,Nations League
2019-04-13,Ecuador,Nigeria,1,0,Friendly
2019-04-14,Senegal,Jordan,1,2,Continental Cup
2019-04-15,France,Australia,1,1,WC Qualifier
2019-04-16,Mexico,Poland,3,1,WC Qualifier
2019-04-17,United States,Netherlands,0,1,Friendly
2019-04-18,Iran,Wales,0,0,Nations League
2019-04-19,Argentina,Austria,1,0,Friendly
2019-04-20,Japan,Croatia,0,0,Nations League
2019-04-21,United States,Germany,2,1,Nations League
2019-04-22,Switzerland,Brazil,1,0,WC Qualifier
2019-04-22,Portugal,Japan,3,3,Nations League
2019-04-23,Turkey,Spain,0,4,WC Qualifier
2019-04-24,Wales,Chile,1,0,Nations League
2019-04-25,Belgium,Brazil,1,1,Friendly
2019-04-26,Colombia,Ukraine,2,1,Friendly
2019-04-27,Morocco,Iran,1,1,Continental Cup
2019-04-28,New Zealand,Jordan,0,0,Friendly
2019-04-29,Canada,Wales,1,3,Friendly
2019-04-30,Iran,Chile,1,2,Friendly
2019-05-01,United States,South Korea,4,2,Friendly
2019-05-01,Senegal,Saudi Arabia,3,1,Continental Cup
2019-05-02,Austria,Croatia,1,0,WC Qualifier
2019-05-03,Austria,Ecuador,2,1,WC Qualifier
2019-05-04,Tunisia,Curacao,1,0,Friendly
2019-05-05,Germany,Spain,2,2,WC Qualifier
2019-05-06,Mexico,New Zealand,2,1,Nations League
2019-05-07,Argentina,Senegal,0,0,Continental Cup
2019-05-08,New Zealand,Jamaica,2,2,Nations League
2019-05-09,Denmark,Morocco,7,6,Continental Cup
2019-05-10,Germany,Morocco,4,4,WC Qualifier
2019-05-11,Portugal,Spain,2,3,Friendly
2019-05-11,Scotland,England,0,3,Friendly
2019-05-12,Switzerland,Netherlands,2,1,Continental Cup
2019-05-13,Argentina,Scotland,2,2,WC Qualifier
2019-05-14,Canada,Jordan,1,1,Continental Cup
2019-05-15,Mexico,Germany,0,0,Nations League
2019-05-16,Algeria,Italy,1,2,WC Qualifier
2019-05-17,New Zealand,Portugal,2,1,Nations League
2019-05-18,Austria,France,0,3,WC Qualifier
2019-05-19,Uzbekistan,Italy,0,3,WC Qualifier
2019-05-20,Saudi Arabia,Canada,1,2,Friendly
2019-05-20,Ecuador,Mexico,1,2,Nations League
2019-05-21,Netherlands,Chile,4,0,WC Qualifier
2019-05-22,Saudi Arabia,Italy,0,0,WC Qualifier
2019-05-23,Egypt,Saudi Arabia,3,3,WC Qualifier
2019-05-24,Germany,England,1,1,Friendly
2019-05-25,Belgium,Mexico,3,2,WC Qualifier
2019-05-26,South Korea,Brazil,4,5,Friendly
2019-05-27,Austria,Australia,3,0,Continental Cup
2019-05-28,Ecuador,England,2,3,WC Qualifier
2019-05-29,Algeria,Switzerland,2,3,Friendly
2019-05-29,Jordan,Canada,0,1,Friendly
2019-05-30,Croatia,Saudi Arabia,0,2,Friendly
2019-05-31,Colombia,Switzerland,1,0,Continental Cup
2019-06-01,Wales,Chile,0,1,WC Qualifier
2019-06-02,Mexico,Cape Verde,2,1,WC Qualifier
2019-06-03,Algeria,United States,2,1,Nations League
2019-06-04,Mexico,Poland,2,2,Continental Cup
2019-06-05,Spain,Panama,2,1,Continental Cup
2019-06-06,Spain,Croatia,1,2,Friendly
2019-06-07,Brazil,Jordan,2,0,WC Qualifier
2019-06-08,Morocco,Poland,0,0,Nations League
2019-06-08,Senegal,South Korea,3,0,Nations League
2019-06-09,Canada,Germany,2,3,Friendly
2019-06-10,Morocco,Serbia,3,3,Friendly
2019-06-11,Ecuador,Switzerland,3,4,WC Qualifier
2019-06-12,Uzbekistan,Wales,3,4,Continental Cup
2019-06-13,Denmark,New Zealand,2,1,Friendly
2019-06-14,Ukraine,Switzerland,2,1,Nations League
2019-06-15,Turkey,Croatia,0,2,Friendly
2019-06-16,Brazil,Japan,3,1,Friendly
2019-06-17,Netherlands,Jamaica,1,0,Friendly
2019-06-17,Jordan,France,0,1,Nations League
2019-06-18,Senegal,Jamaica,0,1,Continental Cup
2019-06-19,Australia,Peru,3,3,WC Qualifier
2019-06-20,England,Panama,1,1,Continental Cup
2019-06-21,Tunisia,United States,0,2,Continental Cup
2019-06-22,Tunisia,Nigeria,3,2,WC Qualifier
2019-06-23,Belgium,Jamaica,1,0,WC Qualifier
2019-06-24,South Korea,Tunisia,4,3,WC Qualifier
2019-06-25,England,Canada,3,1,Nations League
2019-06-26,Australia,France,1,2,Nations League
2019-06-26,Switzerland,Jamaica,2,0,Friendly
2019-06-27,Curacao,South Korea,0,2,Friendly
2019-06-28,Uruguay,Jamaica,3,3,Friendly
2019-06-29,Ecuador,Qatar,5,6,WC Qualifier
2019-06-30,Cape Verde,Uruguay,1,2,WC Qualifier
2019-07-01,Curacao,Germany,1,2,Friendly
2019-07-02,South Korea,Italy,0,0,Friendly
2019-07-03,Portugal,Costa Rica,1,0,WC Qualifier
2019-07-04,Brazil,Chile,2,0,Continental Cup
2019-07-05,Costa Rica,Qatar,3,2,Friendly
2019-07-06,Nigeria,Chile,2,2,Friendly
2019-07-06,Algeria,Peru,2,1,WC Qualifier
2019-07-07,Canada,Chile,0,0,Friendly
2019-07-08,Germany,Saudi Arabia,3,2,Nations League
2019-07-09,France,Poland,0,4,Friendly
2019-07-10,Jamaica,England,1,2,Continental Cup
2019-07-11,Egypt,England,1,3,Friendly
2019-07-12,Senegal,Peru,2,1,Nations League
2019-07-13,Panama,Uruguay,0,2,Friendly
2019-07-14,Canada,Tunisia,3,2,Friendly
2019-07-15,Brazil,Turkey,3,3,Friendly
2019-07-15,Colombia,Serbia,0,0,Friendly
2019-07-16,Italy,Ukraine,2,1,Continental Cup
2019-07-17,Panama,Japan,2,1,Continental Cup
2019-07-18,France,Senegal,2,1,WC Qualifier
2019-07-19,Algeria,Serbia,1,2,Continental Cup
2019-07-20,Qatar,Ecuador,0,1,Friendly
2019-07-21,Saudi Arabia,Jamaica,0,2,WC Qualifier
2019-07-22,Curacao,Netherlands,0,0,Friendly
2019-07-23,Iran,Austria,2,3,Friendly
2019-07-24,Japan,Scotland,1,0,Friendly
2019-07-24,Japan,Senegal,2,1,WC Qualifier
2019-07-25,Switzerland,Senegal,2,0,Nations League
2019-07-26,South Korea,Egypt,1,0,Continental Cup
2019-07-27,Belgium,Switzerland,4,5,WC Qualifier
2019-07-28,Chile,Costa Rica,2,1,Friendly
2019-07-29,New Zealand,Portugal,0,1,WC Qualifier
2019-07-30,South Korea,Uruguay,1,1,Friendly
2019-07-31,Denmark,Panama,2,4,Continental Cup
2019-08-01,Curacao,Peru,1,1,Continental Cup
2019-08-02,Belgium,Brazil,2,3,Friendly
2019-08-03,Nigeria,Panama,2,1,Nations League
2019-08-03,Jamaica,South Korea,1,2,WC Qualifier
2019-08-04,United States,Canada,5,4,WC Qualifier
2019-08-05,Germany,Iran,3,2,WC Qualifier
2019-08-06,Saudi Arabia,Germany,2,1,Nations League
2019-08-07,Uzbekistan,Colombia,2,3,Friendly
2019-08-08,Germany,Peru,3,0,Nations League
2019-08-09,Jordan,Qatar,1,1,Nations League
2019-08-10,Scotland,Morocco,0,1,Continental Cup
2019-08-11,Spain,Switzerland,3,0,WC Qualifier
2019-08-12,Germany,Italy,1,1,WC Qualifier
2019-08-12,Qatar,Scotland,2,1,WC Qualifier
2019-08-13,Colombia,Cape Verde,2,0,Continental Cup
2019-08-14,Poland,Cape Verde,3,2,Nations League
2019-08-15,Ukraine,Wales,3,3,Nations League
2019-08-16,Nigeria,Algeria,1,0,Friendly
2019-08-17,Japan,Ecuador,0,1,Nations League
2019-08-18,Netherlands,Egypt,2,1,Friendly
2019-08-19,Wales,Jordan,2,3,WC Qualifier
2019-08-20,South Korea,Iran,1,2,WC Qualifier
2019-08-21,England,Algeria,1,2,WC Qualifier
2019-08-21,Netherlands,Wales,3,0,WC Qualifier
2019-08-22,Netherlands,Colombia,0,1,Nations League
2019-08-23,Costa Rica,Mexico,1,0,Continental Cup
2019-08-24,Jordan,Iran,0,2,Friendly
2019-08-25,Scotland,Argentina,1,1,Continental Cup
2019-08-26,Jordan,Turkey,3,3,WC Qualifier
2019-08-27,Austria,Colombia,2,1,Nations League
2019-08-28,United States,Croatia,2,0,Friendly
2019-08-29,Argentina,Portugal,0,1,WC Qualifier
2019-08-30,Portugal,Ecuador,4,1,Friendly
2019-08-30,Algeria,Switzerland,0,0,Friendly
2019-08-31,Iran,Poland,2,2,Friendly
2019-09-01,Poland,Jordan,0,1,Continental Cup
2019-09-02,Turkey,England,1,5,Friendly
2019-09-03,Egypt,Jamaica,2,2,Friendly
2019-09-04,New Zealand,Egypt,1,1,WC Qualifier
2019-09-05,Switzerland,Nigeria,3,3,Friendly
2019-09-06,Egypt,Turkey,1,2,Continental Cup
2019-09-07,Costa Rica,Uzbekistan,1,1,Friendly
2019-09-08,Chile,Australia,2,0,Friendly
2019-09-09,Saudi Arabia,Curacao,2,3,Continental Cup
2019-09-09,Switzerland,Croatia,2,2,Friendly
2019-09-10,Jordan,Panama,5,4,WC Qualifier
2019-09-11,Scotland,Saudi Arabia,2,1,Friendly
2019-09-12,Uzbekistan,Iran,3,2,Nations League
2019-09-13,Croatia,Argentina,2,3,Nations League
2019-09-14,Wales,Uzbekistan,2,1,WC Qualifier
2019-09-15,Serbia,Panama,2,1,Friendly
2019-09-16,New Zealand,Morocco,2,3,Friendly
2019-09-17,Colombia,Poland,3,1,Friendly
2019-09-18,Spain,Peru,0,1,Continental Cup
2019-09-18,Qatar,Mexico,2,3,Continental Cup
2019-09-19,Switzerland,England,1,0,WC Qualifier
2019-09-20,Spain,Italy,2,2,Nations League
2019-09-21,Spain,Ecuador,3,4,Friendly
2019-09-22,Japan,Austria,4,3,Friendly
2019-09-23,Ecuador,Belgium,4,5,Friendly
2019-09-24,Argentina,Italy,3,2,WC Qualifier
2019-09-25,South Korea,Germany,5,4,Nations League
2019-09-26,Ukraine,Switzerland,3,4,WC Qualifier
2019-09-27,Japan,Australia,2,0,WC Qualifier
2019-09-27,Spain,Australia,0,0,WC Qualifier
2019-09-28,Ukraine,Iran,2,2,Continental Cup
2019-09-29,Senegal,Australia,2,1,Continental Cup
2019-09-30,Colombia,Germany,4,5,WC Qualifier
2019-10-01,Serbia,New Zealand,2,2,Nations League
2019-10-02,Uruguay,Morocco,1,1,Friendly
2019-10-03,Germany,Brazil,3,2,WC Qualifier
2019-10-04,Japan,Nigeria,1,1,Friendly
2019-10-05,Netherlands,Italy,1,0,WC Qualifier
2019-10-06,Egypt,Colombia,3,2,Friendly
